temperature,fraction,run,atoms,composition,system
1300.0,0.18151942298258522,/nvt/nvt_Al6372-Sm540/run_99,6912,Al6372Sm540,AlSm
800.0,0.38701768303899925,/nvt/nvt_Al6372-Sm540/run_99,6912,Al6372Sm540,AlSm
300.0,0.5607303547338729,/nvt/nvt_Al6372-Sm540/run_99,6912,Al6372Sm540,AlSm
1300.0,0.18114288232769193,/nvt/nvt_Al6372-Sm540/run_67,6912,Al6372Sm540,AlSm
800.0,0.39434058437576647,/nvt/nvt_Al6372-Sm540/run_67,6912,Al6372Sm540,AlSm
300.0,0.5692901873313712,/nvt/nvt_Al6372-Sm540/run_67,6912,Al6372Sm540,AlSm
1300.0,0.18101353630120187,/nvt/nvt_Al6372-Sm540/run_84,6912,Al6372Sm540,AlSm
800.0,0.38861869941133187,/nvt/nvt_Al6372-Sm540/run_84,6912,Al6372Sm540,AlSm
300.0,0.5692815642629384,/nvt/nvt_Al6372-Sm540/run_84,6912,Al6372Sm540,AlSm
1300.0,0.1818068585970076,/nvt/nvt_Al6372-Sm540/run_79,6912,Al6372Sm540,AlSm
800.0,0.38183521891096395,/nvt/nvt_Al6372-Sm540/run_79,6912,Al6372Sm540,AlSm
300.0,0.5602532116139318,/nvt/nvt_Al6372-Sm540/run_79,6912,Al6372Sm540,AlSm
1300.0,0.18168805187637968,/nvt/nvt_Al6372-Sm540/run_80,6912,Al6372Sm540,AlSm
800.0,0.3904764915992151,/nvt/nvt_Al6372-Sm540/run_80,6912,Al6372Sm540,AlSm
300.0,0.5754566393794457,/nvt/nvt_Al6372-Sm540/run_80,6912,Al6372Sm540,AlSm
1300.0,0.1820042310522443,/nvt/nvt_Al6372-Sm540/run_22,6912,Al6372Sm540,AlSm
800.0,0.39263609118224185,/nvt/nvt_Al6372-Sm540/run_22,6912,Al6372Sm540,AlSm
300.0,0.569823859455482,/nvt/nvt_Al6372-Sm540/run_22,6912,Al6372Sm540,AlSm
1300.0,0.18113425925925927,/nvt/nvt_Al6372-Sm540/run_10,6912,Al6372Sm540,AlSm
800.0,0.38928075944321805,/nvt/nvt_Al6372-Sm540/run_10,6912,Al6372Sm540,AlSm
300.0,0.5728601376624969,/nvt/nvt_Al6372-Sm540/run_10,6912,Al6372Sm540,AlSm
1300.0,0.18122432241844494,/nvt/nvt_Al6372-Sm540/run_37,6912,Al6372Sm540,AlSm
800.0,0.3980906610252637,/nvt/nvt_Al6372-Sm540/run_37,6912,Al6372Sm540,AlSm
300.0,0.5720361555678195,/nvt/nvt_Al6372-Sm540/run_37,6912,Al6372Sm540,AlSm
1300.0,0.1821153728231543,/nvt/nvt_Al6372-Sm540/run_41,6912,Al6372Sm540,AlSm
800.0,0.38811856144223694,/nvt/nvt_Al6372-Sm540/run_41,6912,Al6372Sm540,AlSm
300.0,0.5515793628893795,/nvt/nvt_Al6372-Sm540/run_41,6912,Al6372Sm540,AlSm
1300.0,0.18041183774834438,/nvt/nvt_Al6372-Sm540/run_38,6912,Al6372Sm540,AlSm
800.0,0.3949777333210694,/nvt/nvt_Al6372-Sm540/run_38,6912,Al6372Sm540,AlSm
300.0,0.5747093067819475,/nvt/nvt_Al6372-Sm540/run_38,6912,Al6372Sm540,AlSm
1300.0,0.18169954930095658,/nvt/nvt_Al6372-Sm540/run_13,6912,Al6372Sm540,AlSm
800.0,0.3928698721486387,/nvt/nvt_Al6372-Sm540/run_13,6912,Al6372Sm540,AlSm
300.0,0.562774021952416,/nvt/nvt_Al6372-Sm540/run_13,6912,Al6372Sm540,AlSm
1300.0,0.1812607309296051,/nvt/nvt_Al6372-Sm540/run_46,6912,Al6372Sm540,AlSm
800.0,0.38148646369879813,/nvt/nvt_Al6372-Sm540/run_46,6912,Al6372Sm540,AlSm
300.0,0.5710071360681874,/nvt/nvt_Al6372-Sm540/run_46,6912,Al6372Sm540,AlSm
1300.0,0.18167463821437332,/nvt/nvt_Al6372-Sm540/run_2,6912,Al6372Sm540,AlSm
800.0,0.39613130825361786,/nvt/nvt_Al6372-Sm540/run_2,6912,Al6372Sm540,AlSm
300.0,0.5706967056046113,/nvt/nvt_Al6372-Sm540/run_2,6912,Al6372Sm540,AlSm
1300.0,0.18159607247976453,/nvt/nvt_Al6372-Sm540/run_68,6912,Al6372Sm540,AlSm
800.0,0.3870234317512877,/nvt/nvt_Al6372-Sm540/run_68,6912,Al6372Sm540,AlSm
300.0,0.5676259351238656,/nvt/nvt_Al6372-Sm540/run_68,6912,Al6372Sm540,AlSm
1300.0,0.18290103016924208,/nvt/nvt_Al6372-Sm540/run_3,6912,Al6372Sm540,AlSm
800.0,0.3928008876011773,/nvt/nvt_Al6372-Sm540/run_3,6912,Al6372Sm540,AlSm
300.0,0.5711412726882512,/nvt/nvt_Al6372-Sm540/run_3,6912,Al6372Sm540,AlSm
1300.0,0.18261934326710816,/nvt/nvt_Al6372-Sm540/run_81,6912,Al6372Sm540,AlSm
800.0,0.3863422093451067,/nvt/nvt_Al6372-Sm540/run_81,6912,Al6372Sm540,AlSm
300.0,0.5649547001471671,/nvt/nvt_Al6372-Sm540/run_81,6912,Al6372Sm540,AlSm
1300.0,0.18157595198675497,/nvt/nvt_Al6372-Sm540/run_89,6912,Al6372Sm540,AlSm
800.0,0.39682690244052,/nvt/nvt_Al6372-Sm540/run_89,6912,Al6372Sm540,AlSm
300.0,0.5660076726146677,/nvt/nvt_Al6372-Sm540/run_89,6912,Al6372Sm540,AlSm
1300.0,0.1801636850012264,/nvt/nvt_Al6372-Sm540/run_56,6912,Al6372Sm540,AlSm
800.0,0.3865376655629139,/nvt/nvt_Al6372-Sm540/run_56,6912,Al6372Sm540,AlSm
300.0,0.5589837043168997,/nvt/nvt_Al6372-Sm540/run_56,6912,Al6372Sm540,AlSm
1300.0,0.18035722498160411,/nvt/nvt_Al6372-Sm540/run_59,6912,Al6372Sm540,AlSm
800.0,0.38943405843757667,/nvt/nvt_Al6372-Sm540/run_59,6912,Al6372Sm540,AlSm
300.0,0.5591120922246751,/nvt/nvt_Al6372-Sm540/run_59,6912,Al6372Sm540,AlSm
1300.0,0.18246987674760853,/nvt/nvt_Al6372-Sm540/run_32,6912,Al6372Sm540,AlSm
800.0,0.385515352894285,/nvt/nvt_Al6372-Sm540/run_32,6912,Al6372Sm540,AlSm
300.0,0.5565817006990434,/nvt/nvt_Al6372-Sm540/run_32,6912,Al6372Sm540,AlSm
1300.0,0.18141977863625214,/nvt/nvt_Al6372-Sm540/run_45,6912,Al6372Sm540,AlSm
800.0,0.39212062331371106,/nvt/nvt_Al6372-Sm540/run_45,6912,Al6372Sm540,AlSm
300.0,0.5652938741721855,/nvt/nvt_Al6372-Sm540/run_45,6912,Al6372Sm540,AlSm
1300.0,0.18209429421142997,/nvt/nvt_Al6372-Sm540/run_40,6912,Al6372Sm540,AlSm
800.0,0.38770177980132453,/nvt/nvt_Al6372-Sm540/run_40,6912,Al6372Sm540,AlSm
300.0,0.5636277057272504,/nvt/nvt_Al6372-Sm540/run_40,6912,Al6372Sm540,AlSm
1300.0,0.18180877483443708,/nvt/nvt_Al6372-Sm540/run_49,6912,Al6372Sm540,AlSm
800.0,0.3916262340569046,/nvt/nvt_Al6372-Sm540/run_49,6912,Al6372Sm540,AlSm
300.0,0.5636564492886926,/nvt/nvt_Al6372-Sm540/run_49,6912,Al6372Sm540,AlSm
1300.0,0.180890897105715,/nvt/nvt_Al6372-Sm540/run_17,6912,Al6372Sm540,AlSm
800.0,0.39046403605592345,/nvt/nvt_Al6372-Sm540/run_17,6912,Al6372Sm540,AlSm
300.0,0.5568892568064754,/nvt/nvt_Al6372-Sm540/run_17,6912,Al6372Sm540,AlSm
1300.0,0.18171679543782193,/nvt/nvt_Al6372-Sm540/run_66,6912,Al6372Sm540,AlSm
800.0,0.3902906165685553,/nvt/nvt_Al6372-Sm540/run_66,6912,Al6372Sm540,AlSm
300.0,0.5794864866936473,/nvt/nvt_Al6372-Sm540/run_66,6912,Al6372Sm540,AlSm
1300.0,0.1816161929727741,/nvt/nvt_Al6372-Sm540/run_0,6912,Al6372Sm540,AlSm
800.0,0.39628077477311746,/nvt/nvt_Al6372-Sm540/run_0,6912,Al6372Sm540,AlSm
300.0,0.5756013153053716,/nvt/nvt_Al6372-Sm540/run_0,6912,Al6372Sm540,AlSm
1300.0,0.18124061043659553,/nvt/nvt_Al6372-Sm540/run_15,6912,Al6372Sm540,AlSm
